FID,Shape *,OBJECTID,ID,COMMUNE_IN,COMMUNE,LIEU_IGN,VESTIGES_I,CHRONO_BEG,DATE_START,CHRONO_END,DATE_ENDE,TSlice_1,TSlice_2,TSlice_3,TSlice_4,TSlice_5,TSlice_6,PROTOHISTO,HISTOIRE,AGE_DU_BRO,AGE_DU_FER,GALLO_ROMA,MOYEN_AGE,BRONZE_ANC,BRONZE_FIN,PREMIER_AG,SECOND_AGE,REPUBLIQUE,HAUT_EMPIR,BAS_EMPIRE,HAUT_MOYEN,MOYEN_AG_1,BZ_FINAL_1,BZ_FINAL_2,BZ_FINAL_3,HA_A,HA_B,HA_C,HA_D,LT_A_LT_I,LT_B_LT_II,LT_C__T_II,LT_FINAL,LT_D_LT_IV,EZ_8__Jh_,EZ__7__Jh_,EZ__6__Jh_,EZ__5__Jh_,EZ__4__Jh_,EZ__3__Jh_,RE_2___Jh_,RE_1__Jh_,HE_1__Jh_,HE_2__Jh_,HE_3__Jh_,BE_4__Jh_,BE_5__Jh_,BRF_2A,BRF_2B,BRF_3A,BRF_3B,HA_A1,HA_A2,HA_B1,HA_B2,HA_B3,HA_C1,HA_C2,HA_D1,HA_D2,HA_D3,LT_A1,LT_A2,LT_B1,LT_B2,LT_C1,LT_C2,LT_D1,LT_D2,RE_1__H__2,RE_2__H__2,RE_1__H__1,HE_2__H__1,HE_1__H__1,HE_2__H__2,HE_1__H__2,HE_2__H__3,HE_1__H__3,HE_2__H__4,BE_1__H__4,BE_2__H__4,BE_1__H__5,BE_2__H__5,xalt,yalt,DEPARTEMEN,REGION,Siedlungss,x,y
10,Point,11,114,26020,Aurel,Rochefort,villa. hypogée,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856599.95,6397939.23,Drôme,Rhône-Alpes,Villa,44.66,4.98
11,Point,12,115,26020,Aurel,Bournat,atelier de terre cuite architecturale. production de chaux,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858790.02,6396624.32,Drôme,Rhône-Alpes,Teil der Siedlung,44.65,5
12,Point,13,117,26020,Aurel,L'Abri. RN 538,habitat,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859455.88,6398918.81,Drôme,Rhône-Alpes,Siedlung,44.67,5.01
13,Point,14,121,26021,Autichamp,Quartier Tridolet,habitat,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856613.71,6399888.43,Drôme,Rhône-Alpes,Siedlung,44.68,4.98
14,Point,15,125,26025,Barnave,La Perlette,habitat,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890853.79,6400201.57,Drôme,Rhône-Alpes,Siedlung,44.67,5.41
15,Point,16,137,26027,Barsac,Presara,villa,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881395.98,6405864.15,Drôme,Rhône-Alpes,Villa,44.73,5.29
16,Point,17,156,26035,Beaufort-sur-Gervanne,Plateau de Champ des Cols,villa,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868586.27,6410145.56,Drôme,Rhône-Alpes,Villa,44.77,5.13
17,Point,18,200,26045,La Bégude-de-Mazenc,Le Pereyret Est,production métallurgique,GALLO-ROMAIN,-120,PERIODE RECENT,2001,0,0,0,1,1,1,0,1,0,0,0.5,1,0,0,0,0,0.3,0.3,0.3,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853317.36,6386065.95,Drôme,Rhône-Alpes,Teil der Siedlung,44.56,4.93
18,Point,19,223,26047,Bellegarde-en-Diois,Ferme de Marvielle,villa,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892519.39,6383445.14,Drôme,Rhône-Alpes,Villa,44.52,5.42
19,Point,20,237,26052,Bonlieu-sur-Roubion,Boulaton,production de chaux,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847643.41,6389525.13,Drôme,Rhône-Alpes,Teil der Siedlung,44.59,4.86
20,Point,21,241,26054,Bouchet,Quartier de Claras,villa,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,851732.25,6355552.15,Drôme,Rhône-Alpes,Villa,44.28,4.9
21,Point,22,248,26055,Boulc,Montagne de la Varaime,occupation,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,907994.19,6397065.74,Drôme,Rhône-Alpes,Nutzungsareal,44.64,5.62
22,Point,23,259,26063,Buis-les-Baronnies,Les Brugières,atelier de terre cuite architecturale,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881599.77,6353418.88,Drôme,Rhône-Alpes,Teil der Siedlung,44.26,5.27
23,Point,24,262,26063,Buis-les-Baronnies,Saint-Julien,habitat. citerne,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882344.97,6354768.87,Drôme,Rhône-Alpes,Siedlung,44.27,5.28
24,Point,25,288,26064,Chabeuil,Chassenette,occupation,REPUBLIQUE,-120,HAUT-EMPIRE,293,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,858419.39,6426711.15,Drôme,Rhône-Alpes,Nutzungsareal,44.92,5.01
25,Point,26,309,26065,Chabrillan,Saint-Pierre,villa. thermes,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854465.51,6404317.09,Drôme,Rhône-Alpes,Villa,44.72,4.95
26,Point,27,332,26065,Chabrillan,Sud d'Almoric,occupation. drain,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854684.49,6402751,Drôme,Rhône-Alpes,Nutzungsareal,44.71,4.95
27,Point,28,365,26073,Chantemerle-lès-Grignan,Basse Combe,production alimentaire végétale,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845404.48,6369875.33,Drôme,Rhône-Alpes,Teil der Siedlung,44.41,4.83
28,Point,29,371,26075,La Charce,Le Piconnet,atelier de terre cuite architecturale,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892570.9,6377046.23,Drôme,Rhône-Alpes,Teil der Siedlung,44.47,5.42
29,Point,30,373,26078,Charols,Elevage avicole,villa,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854917.63,6388592.01,Drôme,Rhône-Alpes,Villa,44.58,4.95
30,Point,31,375,26078,Charols,Griotte,habitat,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855170.04,6391037.18,Drôme,Rhône-Alpes,Siedlung,44.6,4.96
31,Point,32,376,26078,Charols,Ventebrun,villa,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856553.29,6391291.72,Drôme,Rhône-Alpes,Villa,44.6,4.97
32,Point,33,385,26080,Chastel-Arnaud,Les Auberts (dans le talus),atelier de terre cuite architecturale,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873657.33,6398395.14,Drôme,Rhône-Alpes,Teil der Siedlung,44.66,5.19
33,Point,34,397,26085,Châteauneuf-du-Rhône,Benoît,villa. eau et hydraulique,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836248.47,6376506.6,Drôme,Rhône-Alpes,Villa,44.47,4.71
34,Point,35,406,26085,Châteauneuf-du-Rhône,Boury,villa,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836475.46,6382367.07,Drôme,Rhône-Alpes,Villa,44.53,4.72
35,Point,36,410,26085,Châteauneuf-du-Rhône,Le Château,occupation,NEOLITHIQUE,-5800,MOYEN AGE,1492,1,0,0,1,1,1,0.5,0.5,1,1,1,1,0,0,0,0,0.3,0.3,0.3,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836320.07,6377601.92,Drôme,Rhône-Alpes,Nutzungsareal,44.48,4.71
36,Point,37,415,26085,Châteauneuf-du-Rhône,La Freydière,habitat,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837065.82,6379171.8,Drôme,Rhône-Alpes,Siedlung,44.5,4.72
37,Point,38,441,26093,Clansayes,Plaine des Alissas,villa,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843347.83,6365390.64,Drôme,Rhône-Alpes,Villa,44.37,4.8
38,Point,39,461,26093,Clansayes,Vignole,carrière de meules,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844590.97,6365256.43,Drôme,Rhône-Alpes,Nutzungsareal,44.37,4.81
39,Point,40,469,26093,Clansayes,Les Guarrigues,carrière,GALLO-ROMAIN,-120,MOYEN AGE,1492,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0.3,0.3,0.3,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845522.72,6365726.39,Drôme,Rhône-Alpes,Nutzungsareal,44.38,4.83
40,Point,41,471,26095,Cléon-d'Andran,"La Commanderie (autrefois ""l'Hôpital"")",villa,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854205.47,6391508.13,Drôme,Rhône-Alpes,Villa,44.61,4.94
41,Point,42,474,26098,Cobonne,Serre de Tramelas,villa,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,863786.63,6406405.75,Drôme,Rhône-Alpes,Villa,44.74,5.07
42,Point,43,496,26106,La Coucourde,Nord du bourg. vers la gare SNCF,forge. production métallurgique,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841314.97,6396313.48,Drôme,Rhône-Alpes,Teil der Siedlung,44.65,4.78
43,Point,44,519,26108,Crest,Bourbousson,agglomération secondaire,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857615.57,6406997.44,Drôme,Rhône-Alpes,Kleinstadt,44.74,4.99
